visitorid,ses_rec,ses_rec_avg,user_rec,ses_n,ses_n_r,int_n,int_n_r,tran_n,tran_n_r,rev_sum,rev_sum_r,major_spend_r,int_cat_n_avg,int_itm_n_avg,ses_mo_avg,ses_ho_avg,ses_wknd_r,ses_len_avg,time_to_int,time_to_tran,target
14540,19.0,19.0,19.0,1.0,0.05263157894736842,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,0.0,0.0,2.783333333333333,0.6958333333333333,-1.0,1.0
15316,62.0,62.0,62.0,1.0,0.016129032258064516,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,20.0,0.0,0.0,0.0,-1.0,1.0
15318,21.0,21.0,21.0,1.0,0.047619047619047616,2.0,2.0,1.0,1.0,12120.0,12120.0,0.0,1.0,1.0,7.0,13.0,0.0,1.5833333333333333,0.7916666666666666,0.0,1.0
15685,62.0,62.0,62.0,1.0,0.016129032258064516,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,8.0,0.0,0.0,0.0,-1.0,1.0
16357,89.0,89.0,89.0,1.0,0.011235955056179775,2.0,2.0,1.0,1.0,80400.0,80400.0,1.0,1.0,1.0,5.0,20.0,0.0,0.8166666666666667,0.4083333333333333,0.0,1.0
16628,37.0,37.0,37.0,1.0,0.02702702702702703,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,1.0,0.0,0.0,-1.0,1.0
16975,52.0,52.0,52.0,1.0,0.019230769230769232,2.0,2.0,1.0,1.0,193080.0,193080.0,1.0,1.0,1.0,6.0,7.0,0.0,2.65,1.325,0.0,1.0
18288,95.0,95.0,95.0,1.0,0.010526315789473684,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,8.0,0.0,0.016666666666666666,0.008333333333333333,-1.0,1.0
18573,15.0,0.0,15.0,2.0,0.13333333333333333,6.0,3.0,3.0,1.5,94800.0,47400.0,0.5,2.5,2.5,8.0,16.5,1.0,6.141666666666667,2.047222222222222,0.0,1.0
18614,42.0,42.0,42.0,1.0,0.023809523809523808,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,15.0,0.0,0.0,0.0,-1.0,1.0
18688,42.0,0.0,42.0,2.0,0.047619047619047616,2.0,1.0,1.0,0.5,605520.0,302760.0,0.5,1.0,1.0,7.0,9.0,0.0,0.0,0.0,0.0,1.0
18911,11.0,11.0,11.0,1.0,0.09090909090909091,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,13.0,0.0,0.0,0.0,-1.0,1.0
19620,34.0,34.0,34.0,1.0,0.029411764705882353,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,5.0,0.0,0.0,0.0,-1.0,1.0
20454,69.0,69.0,69.0,1.0,0.014492753623188406,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,13.0,0.0,0.0,0.0,-1.0,1.0
20986,47.0,47.0,47.0,1.0,0.02127659574468085,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,17.0,0.0,5.1,2.55,-1.0,1.0
21295,25.0,3.0,28.0,2.0,0.07142857142857142,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,13.5,0.0,0.0,0.0,-1.0,1.0
22035,61.0,61.0,61.0,1.0,0.01639344262295082,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,22.0,0.0,0.0,0.0,-1.0,1.0
22090,77.0,77.0,77.0,1.0,0.012987012987012988,2.0,2.0,1.0,1.0,587880.0,587880.0,1.0,1.0,1.0,6.0,15.0,0.0,12.733333333333333,6.366666666666666,0.0,1.0
22276,64.0,64.0,64.0,1.0,0.015625,2.0,2.0,1.0,1.0,202200.0,202200.0,1.0,1.0,1.0,6.0,0.0,1.0,2.7,1.35,0.0,1.0
22666,34.0,34.0,34.0,1.0,0.029411764705882353,2.0,2.0,1.0,1.0,24000.0,24000.0,0.0,1.0,1.0,7.0,10.0,0.0,4.766666666666667,2.3833333333333333,0.0,1.0
22990,78.0,2.0,80.0,2.0,0.025,25.0,12.5,11.0,5.5,1011000.0,505500.0,1.0,3.5,4.5,5.0,13.5,0.5,15.691666666666666,1.2553333333333334,0.0,1.0
23730,64.0,64.0,64.0,1.0,0.015625,2.0,2.0,1.0,1.0,13920.0,13920.0,0.0,1.0,1.0,6.0,22.0,1.0,3.033333333333333,1.5166666666666666,0.0,1.0
24067,34.0,34.0,34.0,1.0,0.029411764705882353,3.0,3.0,2.0,2.0,26640.0,26640.0,0.0,2.0,2.0,7.0,10.0,0.0,9.916666666666666,3.3055555555555554,0.0,1.0
24142,56.0,56.0,56.0,1.0,0.017857142857142856,2.0,2.0,1.0,1.0,35160.0,35160.0,0.0,1.0,1.0,6.0,18.0,0.0,4.866666666666666,2.433333333333333,0.0,1.0
24722,53.0,0.0,53.0,2.0,0.03773584905660377,6.0,3.0,3.0,1.5,77520.0,38760.0,0.5,1.0,3.0,6.0,21.5,0.0,5.425,1.8083333333333333,0.0,1.0
26809,14.0,14.0,14.0,1.0,0.07142857142857142,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,16.0,0.0,0.0,0.0,-1.0,1.0
26867,26.0,26.0,26.0,1.0,0.038461538461538464,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,15.0,0.0,0.0,0.0,-1.0,1.0
26954,45.0,45.0,45.0,1.0,0.022222222222222223,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,11.0,0.0,3.05,1.525,-1.0,1.0
26998,91.0,91.0,91.0,1.0,0.01098901098901099,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,22.0,1.0,0.0,0.0,-1.0,1.0
27111,28.0,28.0,28.0,1.0,0.03571428571428571,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,15.0,0.0,3.283333333333333,1.6416666666666666,-1.0,1.0
27747,34.0,0.0,34.0,2.0,0.058823529411764705,3.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,1.5,7.0,12.5,0.0,0.9833333333333333,0.6555555555555556,-1.0,1.0
28012,19.0,19.0,19.0,1.0,0.05263157894736842,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,8.0,0.0,0.0,0.0,-1.0,1.0
29570,76.0,76.0,76.0,1.0,0.013157894736842105,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,2.0,0.0,0.0,0.0,-1.0,1.0
29737,12.0,12.0,12.0,1.0,0.08333333333333333,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,2.0,0.0,0.1,0.05,-1.0,1.0
29802,20.0,0.0,21.0,3.0,0.14285714285714285,3.0,1.0,1.0,0.3333333333333333,141120.0,47040.0,0.3333333333333333,1.0,1.0,7.0,19.333333333333332,0.0,0.0,0.0,0.0,0.0
30040,63.0,63.0,63.0,1.0,0.015873015873015872,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,13.0,0.0,0.0,0.0,-1.0,1.0
31029,87.0,87.0,87.0,1.0,0.011494252873563218,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,20.0,0.0,0.0,0.0,-1.0,1.0
31093,99.0,99.0,99.0,1.0,0.010101010101010102,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,11.0,1.0,0.0,0.0,-1.0,1.0
31423,86.0,86.0,86.0,1.0,0.011627906976744186,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,15.0,1.0,0.0,0.0,-1.0,1.0
32596,17.0,17.0,17.0,1.0,0.058823529411764705,2.0,2.0,1.0,1.0,20400.0,20400.0,0.0,1.0,1.0,7.0,13.0,0.0,6.0,3.0,0.0,1.0
33018,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,17.0,1.0,0.0,0.0,-1.0,1.0
33350,2.0,2.0,5.0,2.0,0.4,2.0,1.0,1.0,0.5,235800.0,117900.0,0.5,1.0,1.0,8.0,13.5,0.0,0.0,0.0,0.0,1.0
33717,26.0,26.0,26.0,1.0,0.038461538461538464,2.0,2.0,1.0,1.0,61320.0,61320.0,1.0,1.0,1.0,7.0,13.0,0.0,0.6333333333333333,0.31666666666666665,0.0,1.0
34519,4.0,0.0,4.0,2.0,0.5,4.0,2.0,2.0,1.0,56160.0,28080.0,0.5,2.0,2.0,8.0,14.5,0.0,3.4833333333333334,1.7416666666666667,0.0,1.0
34570,18.0,18.0,18.0,1.0,0.05555555555555555,2.0,2.0,1.0,1.0,25560.0,25560.0,0.0,1.0,1.0,7.0,19.0,0.0,7.833333333333333,3.9166666666666665,0.0,1.0
34598,71.0,0.0,71.0,2.0,0.028169014084507043,4.0,2.0,2.0,1.0,72720.0,36360.0,0.0,1.0,1.0,6.0,0.0,1.0,4.958333333333333,2.4791666666666665,0.0,1.0
34953,56.0,56.0,56.0,1.0,0.017857142857142856,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,13.0,0.0,0.0,0.0,-1.0,1.0
35002,13.0,13.0,13.0,1.0,0.07692307692307693,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,8.0,12.0,0.0,13.4,4.466666666666667,-1.0,1.0
35216,41.0,41.0,41.0,1.0,0.024390243902439025,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,18.0,0.0,0.0,0.0,-1.0,1.0
36694,77.0,77.0,77.0,1.0,0.012987012987012988,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,8.0,0.0,1.5333333333333334,0.7666666666666667,-1.0,1.0
36854,9.0,9.0,9.0,1.0,0.1111111111111111,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,11.0,1.0,0.0,0.0,-1.0,1.0
37875,68.0,68.0,68.0,1.0,0.014705882352941176,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,18.0,0.0,0.0,0.0,-1.0,1.0
38102,74.0,6.0,80.0,2.0,0.025,3.0,1.5,1.0,0.5,47040.0,23520.0,0.5,1.0,1.0,5.5,12.0,0.0,9.25,6.166666666666667,0.0,0.0
38924,64.0,64.0,64.0,1.0,0.015625,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,11.0,1.0,0.0,0.0,-1.0,0.0
39300,20.0,20.0,20.0,1.0,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,18.0,0.0,0.0,0.0,-1.0,1.0
40050,84.0,0.0,84.0,2.0,0.023809523809523808,2.0,1.0,1.0,0.5,10800.0,5400.0,0.0,1.0,1.0,5.0,10.5,0.0,0.0,0.0,0.0,1.0
40175,75.0,75.0,75.0,1.0,0.013333333333333334,2.0,2.0,1.0,1.0,329880.0,329880.0,1.0,1.0,1.0,6.0,15.0,0.0,5.0,2.5,0.0,1.0
40725,30.0,30.0,30.0,1.0,0.03333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,18.0,1.0,0.0,0.0,-1.0,1.0
41483,51.0,51.0,51.0,1.0,0.0196078431372549,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,7.0,1.0,0.0,0.0,-1.0,1.0
42393,0.0,0.0,0.0,1.0,-1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,9.0,0.0,2.25,0.75,-1.0,1.0
42435,70.0,0.5,71.0,3.0,0.04225352112676056,3.0,1.0,1.0,0.3333333333333333,22920.0,7640.0,0.0,1.0,1.0,6.0,12.0,0.6666666666666666,0.0,0.0,0.0,1.0
42493,50.0,50.0,50.0,1.0,0.02,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,17.0,1.0,0.0,0.0,-1.0,1.0
42848,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,16.0,1.0,0.0,0.0,-1.0,1.0
42986,88.0,88.0,88.0,1.0,0.011363636363636364,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,15.0,0.0,0.35,0.11666666666666665,-1.0,1.0
43000,90.0,0.0,90.0,3.0,0.03333333333333333,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,16.666666666666668,0.0,0.0,0.0,-1.0,1.0
43097,95.0,95.0,95.0,1.0,0.010526315789473684,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,14.0,0.0,0.0,0.0,-1.0,1.0
43258,96.0,96.0,96.0,1.0,0.010416666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,15.0,0.0,0.0,0.0,-1.0,1.0
43605,56.0,56.0,56.0,1.0,0.017857142857142856,2.0,2.0,1.0,1.0,10920.0,10920.0,0.0,1.0,1.0,6.0,11.0,0.0,7.866666666666666,3.933333333333333,0.0,1.0
43770,96.0,96.0,96.0,1.0,0.010416666666666666,2.0,2.0,1.0,1.0,34320.0,34320.0,0.0,1.0,1.0,5.0,15.0,0.0,7.316666666666666,3.658333333333333,0.0,1.0
43986,36.0,36.0,36.0,1.0,0.027777777777777776,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,18.0,1.0,0.0,0.0,-1.0,1.0
44271,56.0,4.0,61.0,2.0,0.03278688524590164,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,8.5,0.0,0.0,0.0,-1.0,1.0
45018,67.0,10.0,89.0,3.0,0.033707865168539325,5.0,1.6666666666666667,2.0,0.6666666666666666,113400.0,37800.0,0.3333333333333333,1.6666666666666667,1.6666666666666667,5.666666666666667,7.666666666666667,0.0,2.75,1.65,0.0,1.0
46482,86.0,86.0,86.0,1.0,0.011627906976744186,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,9.0,1.0,0.0,0.0,-1.0,1.0
46568,29.0,29.0,29.0,1.0,0.034482758620689655,2.0,2.0,1.0,1.0,8640.0,8640.0,0.0,1.0,1.0,7.0,15.0,1.0,2.55,1.275,0.0,1.0
47467,91.0,91.0,91.0,1.0,0.01098901098901099,2.0,2.0,1.0,1.0,51480.0,51480.0,1.0,1.0,1.0,5.0,15.0,0.0,7.85,3.925,0.0,1.0
47559,19.0,0.5,21.0,3.0,0.14285714285714285,4.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,7.0,9.333333333333334,0.0,10.15,7.6125,-1.0,1.0
48987,46.0,46.0,46.0,1.0,0.021739130434782608,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,11.0,0.0,0.0,0.0,-1.0,1.0
49871,29.0,29.0,29.0,1.0,0.034482758620689655,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,13.0,1.0,0.0,0.0,-1.0,1.0
50467,63.0,63.0,63.0,1.0,0.015873015873015872,3.0,3.0,1.0,1.0,65760.0,65760.0,1.0,2.0,2.0,6.0,18.0,0.0,10.033333333333333,3.3444444444444446,0.0,1.0
50976,48.0,48.0,48.0,1.0,0.020833333333333332,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,10.0,0.0,0.0,0.0,-1.0,1.0
51951,38.0,38.0,38.0,1.0,0.02631578947368421,2.0,2.0,1.0,1.0,163080.0,163080.0,1.0,1.0,1.0,7.0,19.0,0.0,2.75,1.375,0.0,1.0
52621,68.0,68.0,68.0,1.0,0.014705882352941176,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,7.0,0.0,0.0,0.0,-1.0,1.0
53000,73.0,73.0,73.0,1.0,0.0136986301369863,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,12.0,0.0,0.0,0.0,-1.0,1.0
53538,6.0,6.0,6.0,1.0,0.16666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,19.0,0.0,0.0,0.0,-1.0,1.0
53943,18.0,18.0,18.0,1.0,0.05555555555555555,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,-1.0,1.0
54089,10.0,10.0,10.0,1.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,18.0,0.0,0.0,0.0,-1.0,1.0
55135,77.0,77.0,77.0,1.0,0.012987012987012988,2.0,2.0,1.0,1.0,55680.0,55680.0,1.0,1.0,1.0,6.0,15.0,0.0,2.566666666666667,1.2833333333333334,0.0,1.0
55389,90.0,0.75,98.0,9.0,0.09183673469387756,16.0,1.7777777777777777,5.0,0.5555555555555556,1616292.0,179588.0,0.3333333333333333,1.1111111111111112,1.2222222222222223,5.0,14.222222222222221,0.0,5.803703703703704,3.2645833333333334,0.0,1.0
55507,90.0,90.0,90.0,1.0,0.011111111111111112,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,15.0,0.0,0.0,0.0,-1.0,1.0
55599,5.0,5.0,5.0,1.0,0.2,3.0,3.0,1.0,1.0,46440.0,46440.0,1.0,1.0,1.0,8.0,10.0,0.0,3.6166666666666667,1.2055555555555555,0.0,1.0
55951,45.0,45.0,45.0,1.0,0.022222222222222223,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,15.0,0.0,0.0,0.0,-1.0,1.0
56119,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,16.0,1.0,0.0,0.0,-1.0,1.0
56203,20.0,20.0,20.0,1.0,0.05,2.0,2.0,1.0,1.0,7080.0,7080.0,0.0,1.0,1.0,7.0,15.0,0.0,3.9833333333333334,1.9916666666666667,0.0,1.0
56683,86.0,86.0,86.0,1.0,0.011627906976744186,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,12.0,1.0,0.0,0.0,-1.0,1.0
57088,25.0,25.0,25.0,1.0,0.04,2.0,2.0,1.0,1.0,68280.0,68280.0,1.0,1.0,1.0,7.0,15.0,0.0,6.583333333333333,3.2916666666666665,0.0,1.0
57170,68.0,68.0,68.0,1.0,0.014705882352941176,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,8.0,0.0,0.0,0.0,-1.0,1.0
57290,54.0,54.0,54.0,1.0,0.018518518518518517,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,14.0,0.0,0.0,0.0,-1.0,1.0
57645,80.0,80.0,80.0,1.0,0.0125,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,9.0,0.0,0.0,0.0,-1.0,1.0
57925,19.0,19.0,19.0,1.0,0.05263157894736842,2.0,2.0,1.0,1.0,15480.0,15480.0,0.0,1.0,1.0,7.0,22.0,0.0,5.2,2.6,0.0,1.0
58024,68.0,0.0,68.0,2.0,0.029411764705882353,2.0,1.0,2.0,1.0,76044.0,38022.0,0.5,1.0,1.0,6.0,12.5,0.0,0.0,0.0,0.0,1.0
58326,38.0,38.0,38.0,1.0,0.02631578947368421,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,10.0,0.0,18.116666666666667,6.038888888888889,-1.0,1.0
58509,40.0,40.0,40.0,1.0,0.025,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,16.0,0.0,0.06666666666666667,0.022222222222222223,-1.0,0.0
58740,36.0,0.0,36.0,2.0,0.05555555555555555,2.0,1.0,1.0,0.5,16800.0,8400.0,0.0,1.0,1.0,7.0,21.0,1.0,0.0,0.0,0.0,0.0
59165,69.0,69.0,69.0,1.0,0.014492753623188406,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,11.0,0.0,0.0,0.0,-1.0,1.0
60126,49.0,49.0,49.0,1.0,0.02040816326530612,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,14.0,0.0,0.0,0.0,-1.0,1.0
61323,91.0,0.0,91.0,2.0,0.02197802197802198,2.0,1.0,1.0,0.5,536640.0,268320.0,0.5,1.0,1.0,5.0,8.0,0.0,0.0,0.0,0.0,1.0
62602,14.0,14.0,14.0,1.0,0.07142857142857142,2.0,2.0,1.0,1.0,75480.0,75480.0,1.0,1.0,1.0,8.0,15.0,0.0,5.5,2.75,0.0,1.0
62656,28.0,28.0,28.0,1.0,0.03571428571428571,2.0,2.0,1.0,1.0,232800.0,232800.0,1.0,1.0,1.0,7.0,10.0,0.0,4.716666666666667,2.3583333333333334,0.0,1.0
63208,70.0,70.0,70.0,1.0,0.014285714285714285,2.0,2.0,1.0,1.0,74880.0,74880.0,1.0,1.0,1.0,6.0,16.0,0.0,2.95,1.475,0.0,1.0
64352,89.0,89.0,89.0,1.0,0.011235955056179775,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,22.0,0.0,0.0,0.0,-1.0,1.0
